;data;codice_spira;00:00-01:00;01:00-02:00;02:00-03:00;03:00-04:00;04:00-05:00;05:00-06:00;06:00-07:00;07:00-08:00;08:00-09:00;09:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;16:00-17:00;17:00-18:00;18:00-19:00;19:00-20:00;20:00-21:00;21:00-22:00;22:00-23:00;23:00-24:00;id_uni;Livello;tipologia;codice;codice arco;codice via;Nome via;Nodo da;Nodo a;ordinanza;stato;codimpsem;direzione;angolo;longitudine;latitudine;geopoint;ID_univoco_stazione_spira;giorno settimana
451;02/02/2024;2.28 2.29 8 1;97;36;32;26;93;115;194;404;518;463;467;468;484;403;428;499;534;558;507;405;326;238;188;199;302;1;spira;42;2605;21400;VIA EMILIA PONENTE;8744;8738;4000/343434;A;14;E;260;112.980.846.229.246;445.085.832.490.053;44.5085832490053, 11.2980846229246;458;Venerdì
452;02/02/2024;2.31 2.30 4 1;256;119;56;42;99;112;233;716;954;803;777;810;822;821;896;830;918;857;851;783;712;390;354;525;293;1;spira;33;2681;21400;VIA EMILIA PONENTE;8776;8780;4000/343434;A;300;O;66;113.133.986.552.922;445.041.992.237.176;44.5041992237176, 11.3133986552922;472;Venerdì
455;02/02/2024;2.38 3.7 8 1;160;75;42;32;35;91;289;912;1171;910;708;769;797;790;761;764;858;913;947;930;661;426;336;309;72;1;spira;326;8781;54950;VIALE ANTONIO SILVANI;16695;16698;4000/343434;A;151;NE;307;11.330.518.010.785;445.010.668.033.697;44.5010668033697, 11.330518010785;491;Venerdì
458;02/02/2024;2.82 2.19 8 1;26;10;4;1;8;13;36;219;236;131;127;107;125;144;161;138;225;215;248;165;123;64;40;60;172;1;spira;563;2748;44650;VIA PASUBIO;4565;4701;4000/343434;A;24;E;248;11.316.433.339.438;444.989.091.324.745;44.4989091324745, 11.316433339438;509;Venerdì
598;03/02/2024;0.127 2.18 10 2;22;6;4;2;8;6;15;17;48;85;70;77;52;72;59;41;61;55;100;102;41;12;39;50;941;2;spira;1148;2633;25430;VIALE M. KARAMCHAND GANDHI;8763;4568;4000/343434;A;25;;251;113.094.985.934.965;444.988.573.896.583;44.4988573896583, 11.3094985934965;37;Sabato
604;03/02/2024;0.127 2.30 2 1;1267;712;494;318;149;95;158;365;533;655;811;927;978;804;722;766;757;951;960;1105;717;325;334;422;294;1;spira;34;9183;47900;VIA PRATI DI CAPRARA;16946;13345;4000/343434;A;16;S;161;113.094.463.610.492;445.059.291.474.411;44.5059291474411, 11.3094463610492;52;Sabato
606;03/02/2024;0.127 2.31 6 1;14;4;9;2;6;1;6;15;31;43;44;50;46;32;24;34;41;48;51;66;50;26;18;41;191;1;spira;583;7675;16750;VIA CIMABUE;15441;8846;4000/343434;A;302;N;335;11.314.438.289.839;445.033.998.910.462;44.5033998910462, 11.314438289839;56;Sabato
695;03/02/2024;2.2 2.2 8 1;254;134;81;40;23;61;112;300;452;593;694;680;744;575;526;668;667;724;679;384;205;255;132;262;791;1;spira;1136;217;18000;VIA ANDREA COSTA;16161;16156;4000/343434;A;334;;347;113.022.424.841.515;444.920.804.779.848;44.4920804779848, 11.3022424841515;434;Sabato
706;03/02/2024;2.9 2.10 8 1;234;124;58;40;39;54;138;320;400;538;551;706;698;595;526;586;570;636;623;420;335;256;347;512;163;1;spira;550;364;18000;VIA ANDREA COSTA;4621;4696;4000/343434;A;299;E;280;113.198.132.852.758;444.953.074.040.538;44.4953074040538, 11.3198132852758;515;Sabato
707;03/02/2024;2.9 2.20 6 1;18;10;10;5;8;7;7;25;50;51;55;50;65;51;51;54;56;54;55;83;94;32;25;37;164;1;spira;551;7291;18600;VIA DELLA CROCETTA;4678;14760;4000/343434;A;298;N;354;113.184.727.885.428;444.953.746.950.273;44.4953746950273, 11.3184727885428;516;Sabato
715;03/02/2024;2.18 2.82 6 1;28;10;7;7;10;10;18;31;80;136;129;138;108;123;93;83;113;110;89;107;61;27;49;86;169;1;spira;560;4563;36250;VIA MARZABOTTO;4568;8778;4000/343434;A;25;N;329;113.101.650.805.774;44.499.278.975.506;44.499278975506, 11.3101650805774;420;Sabato
718;03/02/2024;2.19 2.19 8 1;436;218;113;64;91;171;216;613;723;861;1029;1141;1339;1067;959;1072;1158;1150;1084;1018;945;624;659;684;788;1;spira;1132;4219;25430;VIALE M. KARAMCHAND GANDHI;16850;4568;4000/343434;A;399;;253;113.132.403.786.183;444.978.131.399.409;44.4978131399409, 11.3132403786183;428;Sabato
722;03/02/2024;2.28 2.29 8 1;171;110;50;39;84;110;115;188;280;383;441;431;471;323;322;376;360;374;355;387;226;208;179;219;302;1;spira;42;2605;21400;VIA EMILIA PONENTE;8744;8738;4000/343434;A;14;E;260;112.980.846.229.246;445.085.832.490.053;44.5085832490053, 11.2980846229246;458;Sabato
725;03/02/2024;2.30 0.127 6 1;433;191;105;55;87;152;372;620;844;994;1113;1356;1513;1133;995;1021;1203;1229;1206;1243;968;485;627;1232;187;1;spira;579;9147;47900;VIA PRATI DI CAPRARA;13344;16937;4000/343434;A;16;N;341;113.095.630.279.905;445.058.710.102.678;44.5058710102678, 11.3095630279905;467;Sabato
728;03/02/2024;2.33 0.127 2 1;136;96;45;34;36;31;37;112;170;219;247;300;368;266;240;257;258;286;336;397;303;120;127;151;290;1;spira;30;2729;62250;VIA VITTORIO VENETO;8839;8814;4000/343434;A;19;SO;155;113.215.190.419.811;445.010.742.719.742;44.5010742719742, 11.3215190419811;476;Sabato
869;04/02/2024;0.127 2.10 10 1;76;45;25;16;8;4;3;20;37;66;99;120;138;78;86;124;128;138;141;107;86;57;42;42;917;2;spira;1097;8745;44950;VIALE CARLO PEPOLI;16675;16677;4000/343434;A;338;;14;113.287.720.902.502;444.937.218.654.403;44.4937218654403, 11.3287720902502;27;Domenica
874;04/02/2024;0.127 2.20 2 1;191;119;85;27;29;29;22;64;95;189;245;267;306;255;216;266;296;339;344;302;257;161;144;137;178;1;spira;570;7243;62250;VIA VITTORIO VENETO;14727;4677;4000/343434;A;23;S;156;113.190.584.470.408;444.973.300.969.747;44.4973300969747, 11.3190584470408;40;Domenica
878;04/02/2024;0.127 2.30 2 1;336;224;129;68;52;83;103;182;260;439;584;739;849;652;573;661;742;826;900;739;473;289;271;213;294;1;spira;34;9183;47900;VIA PRATI DI CAPRARA;16946;13345;4000/343434;A;16;S;161;113.094.463.610.492;445.059.291.474.411;44.5059291474411, 11.3094463610492;52;Domenica
879;04/02/2024;0.127 2.30 6 1;407;136;67;46;31;59;166;178;296;473;589;748;840;558;592;685;802;865;813;692;472;318;235;172;296;2;spira;36;5425;45190;VIALE SANDRO PERTINI;13354;13344;4000/343434;A;16;N;340;113.092.167.352.814;445.053.085.046.798;44.5053085046798, 11.3092167352814;53;Domenica
882;04/02/2024;0.127 2.33 10 1;299;194;131;70;54;54;63;90;144;237;320;357;399;318;294;387;410;487;463;466;402;272;219;184;945;2;spira;1044;7235;34000;VIA INNOCENZO MALVASIA;14721;8839;4000/343434;A;19;SO;158;113.216.426.062.022;445.012.616.462.669;44.5012616462669, 11.3216426062022;61;Domenica
966;04/02/2024;1.9 0.127 6 1;38;21;10;14;5;12;17;24;25;30;37;28;41;31;33;30;38;37;35;53;39;30;27;24;534;1;spira;515;2881;22100;VIA S.FELICE;13540;15635;4000/343434;A;294;NO;65;113.307.270.636.654;444.980.414.260.355;44.4980414260355, 11.3307270636654;394;Domenica
980;04/02/2024;2.6 2.10 6 1;501;362;192;103;57;48;67;132;273;434;645;763;842;550;533;816;939;958;858;814;568;376;300;293;592;1;spira;541;8712;44950;VIALE CARLO PEPOLI;16659;16665;4000/343434;A;49;N;15;113.295.725.650.354;444.912.436.304.454;44.4912436304454, 11.3295725650354;499;Domenica
982;04/02/2024;2.9 2.10 8 1;296;131;75;40;41;36;56;88;191;259;388;479;577;398;362;463;560;572;555;466;345;254;210;176;163;1;spira;550;364;18000;VIA ANDREA COSTA;4621;4696;4000/343434;A;299;E;280;113.198.132.852.758;444.953.074.040.538;44.4953074040538, 11.3198132852758;515;Domenica
984;04/02/2024;2.10 2.21 6 1;437;276;178;90;41;43;57;128;275;427;568;735;783;550;537;720;827;766;736;693;476;291;255;248;14;1;spira;95;7563;61550;VIALE GIOVANNI VICINI;16678;16693;4000/343434;A;338;NO;10;113.283.987.885.526;44.494.907.669.431;44.494907669431, 11.3283987885526;401;Domenica
990;04/02/2024;2.18 0.127 4 1;457;321;200;87;86;64;71;158;252;544;754;837;960;620;574;646;833;829;795;740;548;335;309;259;171;1;spira;562;2633;25430;VIALE M. KARAMCHAND GANDHI;4568;8763;4000/343434;A;25;O;70;113.087.294.098.062;444.991.747.026.869;44.4991747026869, 11.3087294098062;418;Domenica
991;04/02/2024;2.18 2.82 6 1;26;9;10;6;1;3;5;9;27;80;63;100;89;61;49;85;70;72;70;59;42;22;24;19;169;1;spira;560;4563;36250;VIA MARZABOTTO;4568;8778;4000/343434;A;25;N;329;113.101.650.805.774;44.499.278.975.506;44.499278975506, 11.3101650805774;420;Domenica
993;04/02/2024;2.19 2.32 6 1;54;21;17;7;7;8;13;20;31;61;104;99;112;97;68;73;88;110;108;102;94;59;45;43;358;1;spira;106;2699;57650;VIA DEL TIMAVO;4701;8812;4000/343434;A;24;N;338;113.170.094.340.646;444.988.944.328.703;44.4988944328703, 11.3170094340646;430;Domenica
996;04/02/2024;2.25 2.26 8 1;98;50;32;22;20;34;67;52;116;242;327;344;339;249;214;281;265;237;258;244;143;101;96;87;307;1;spira;49;4910;21400;VIA EMILIA PONENTE;15796;8684;4000/343434;A;11;E;240;112.815.106.068.203;445.151.596.315.856;44.5151596315856, 11.2815106068203;449;Domenica
998;04/02/2024;2.27 2.26 4 1;38;23;13;14;15;22;25;28;63;101;98;138;145;106;94;122;138;122;119;120;75;53;39;34;304;1;spira;44;5940;21400;VIA EMILIA PONENTE;13714;8592;4000/343434;A;13;NO;63;112.898.176.294.478;445.113.136.553.154;44.5113136553154, 11.2898176294478;454;Domenica
1000;04/02/2024;2.28 2.29 8 1;179;94;57;56;62;79;98;85;162;293;305;358;364;226;268;393;352;324;347;284;239;148;139;183;302;1;spira;42;2605;21400;VIA EMILIA PONENTE;8744;8738;4000/343434;A;14;E;260;112.980.846.229.246;445.085.832.490.053;44.5085832490053, 11.2980846229246;458;Domenica
1001;04/02/2024;2.30 0.127 2 1;1016;654;419;246;179;174;215;357;571;894;1131;1459;1585;1319;1283;1421;1570;1599;1768;1545;1231;790;693;586;188;1;spira;580;6122;45190;VIALE SANDRO PERTINI;13345;13882;4000/343434;A;16;S;157;11.309.082.303.102;445.053.154.347.885;44.5053154347885, 11.309082303102;466;Domenica
1002;04/02/2024;2.30 0.127 6 1;559;238;135;103;66;97;224;272;422;649;859;1062;1105;798;844;935;1080;1136;1118;996;674;402;319;268;187;1;spira;579;9147;47900;VIA PRATI DI CAPRARA;13344;16937;4000/343434;A;16;N;341;113.095.630.279.905;445.058.710.102.678;44.5058710102678, 11.3095630279905;467;Domenica
1003;04/02/2024;2.31 2.30 4 1;573;353;238;135;94;78;87;171;253;401;496;668;653;601;601;667;675;699;769;750;665;397;338;277;293;1;spira;33;2681;21400;VIA EMILIA PONENTE;8776;8780;4000/343434;A;300;O;66;113.133.986.552.922;445.041.992.237.176;44.5041992237176, 11.3133986552922;472;Domenica
1004;04/02/2024;2.31 2.82 2 1;56;35;23;11;14;13;15;35;61;115;206;224;196;128;143;156;165;167;186;175;149;77;67;28;204;1;spira;597;2642;36250;VIA MARZABOTTO;8785;4566;4000/343434;A;42;S;155;11.311.120.157.605;445.008.565.366.089;44.5008565366089, 11.311120157605;474;Domenica
1006;04/02/2024;2.33 0.127 2 1;134;87;57;28;23;21;22;41;75;119;179;211;230;199;144;204;242;276;275;275;210;119;109;115;290;1;spira;30;2729;62250;VIA VITTORIO VENETO;8839;8814;4000/343434;A;19;SO;155;113.215.190.419.811;445.010.742.719.742;44.5010742719742, 11.3215190419811;476;Domenica
1007;04/02/2024;2.33 0.127 6 1;110;61;36;26;12;19;27;43;97;192;235;245;280;221;208;277;269;270;256;234;175;105;90;82;194;1;spira;587;7235;34000;VIA INNOCENZO MALVASIA;8839;14721;4000/343434;A;19;N;338;113.218.017.649.932;445.013.661.662.167;44.5013661662167, 11.3218017649932;477;Domenica
1010;04/02/2024;2.35 2.38 8 1;259;160;80;38;34;46;56;92;209;316;460;523;587;462;450;552;635;590;501;475;323;206;185;139;283;1;spira;23;8785;54950;VIALE ANTONIO SILVANI;16696;16702;4000/343434;A;21;NE;296;113.275.922.602.577;444.996.245.123.973;44.4996245123973, 11.3275922602577;485;Domenica
1013;04/02/2024;2.82 2.18 2 2;94;43;36;11;16;16;23;49;75;154;271;297;257;177;196;205;242;230;237;225;187;99;101;47;269;1;spira;922;4568;36250;VIA MARZABOTTO;8776;8777;4000/343434;A;300;S;155;113.132.064.397.937;445.039.186.889.583;44.5039186889583, 11.3132064397937;508;Domenica
1157;05/02/2024;0.127 2.18 8 1;165;90;48;37;68;214;686;1953;1978;1632;1468;1370;1426;1481;1541;1467;1603;2011;2061;1715;1117;565;532;484;95;1;spira;75;2633;25430;VIALE M. KARAMCHAND GANDHI;8763;4568;4000/343434;A;25;E;250;113.086.826.273.458;444.990.522.268.361;44.4990522268361, 11.3086826273458;34;Lunedì
1158;05/02/2024;0.127 2.20 2 1;52;35;16;8;18;40;99;406;410;341;326;324;394;343;409;404;487;532;547;456;282;126;129;102;178;1;spira;570;7243;62250;VIA VITTORIO VENETO;14727;4677;4000/343434;A;23;S;156;113.190.584.470.408;444.973.300.969.747;44.4973300969747, 11.3190584470408;40;Lunedì
1164;05/02/2024;0.127 2.82 8 1;10;11;1;1;5;11;34;252;253;105;111;110;97;82;99;118;134;175;249;139;93;36;31;18;206;1;spira;600;2647;44650;VIA PASUBIO;8787;4566;4000/343434;A;42;E;248;113.107.102.075.303;445.006.771.544.669;44.5006771544669, 11.3107102075303;84;Lunedì
1269;05/02/2024;2.2 2.2 8 1;64;26;18;15;37;68;205;708;852;665;543;592;603;564;565;626;708;704;703;623;411;218;159;119;791;1;spira;1136;217;18000;VIA ANDREA COSTA;16161;16156;4000/343434;A;334;;347;113.022.424.841.515;444.920.804.779.848;44.4920804779848, 11.3022424841515;434;Lunedì
1272;05/02/2024;2.2 2.8 8 1;59;19;14;15;38;90;256;914;1081;771;610;692;716;652;660;709;876;928;1014;798;513;268;204;143;102;1;spira;84;211;18000;VIA ANDREA COSTA;4574;4577;4000/343434;A;335;NE;279;113.037.697.479.955;444.929.234.732.667;44.4929234732667, 11.3037697479955;439;Lunedì
1279;05/02/2024;2.9 2.10 8 1;85;29;18;19;36;78;236;661;779;609;564;615;545;544;601;665;677;663;775;623;451;289;212;177;163;1;spira;550;364;18000;VIA ANDREA COSTA;4621;4696;4000/343434;A;299;E;280;113.198.132.852.758;444.953.074.040.538;44.4953074040538, 11.3198132852758;515;Lunedì
1280;05/02/2024;2.9 2.20 6 1;8;3;2;3;5;10;12;141;185;81;54;41;48;45;61;36;55;79;77;100;40;19;27;11;164;1;spira;551;7291;18600;VIA DELLA CROCETTA;4678;14760;4000/343434;A;298;N;354;113.184.727.885.428;444.953.746.950.273;44.4953746950273, 11.3184727885428;516;Lunedì
1287;05/02/2024;2.18 2.82 6 1;8;2;0;2;5;8;29;53;90;81;106;103;74;70;94;111;129;113;104;96;68;39;22;10;169;1;spira;560;4563;36250;VIA MARZABOTTO;4568;8778;4000/343434;A;25;N;329;113.101.650.805.774;44.499.278.975.506;44.499278975506, 11.3101650805774;420;Lunedì
1289;05/02/2024;2.19 2.19 6 1;29;13;6;9;11;53;133;476;554;437;348;359;366;374;378;390;435;510;456;381;241;133;119;67;176;1;spira;567;357;57650;VIA DEL TIMAVO;4680;4701;4000/343434;A;24;N;338;113.163.420.592.928;444.977.904.881.531;44.4977904881531, 11.3163420592928;426;Lunedì
1290;05/02/2024;2.19 2.19 7 1;29;15;1;4;9;60;212;742;764;587;483;436;492;493;495;520;551;760;796;630;395;197;171;150;789;1;spira;1133;4219;25430;VIALE M. KARAMCHAND GANDHI;16850;4568;4000/343434;A;399;;253;1.131.326.041.783;444.978.561.467.662;44.4978561467662, 11.31326041783;427;Lunedì
1305;05/02/2024;2.82 2.18 2 1;34;15;4;7;13;44;86;328;377;286;315;338;326;219;352;336;331;351;362;316;256;97;82;63;636;1;spira;1008;4563;36250;VIA MARZABOTTO;8778;4568;4000/343434;A;25;S;149;11.309.913.896.272;444.992.572.264.694;44.4992572264694, 11.309913896272;507;Lunedì
