;Unnamed: 0;data;codice_spira;00:00-01:00;01:00-02:00;02:00-03:00;03:00-04:00;04:00-05:00;05:00-06:00;06:00-07:00;07:00-08:00;08:00-09:00;09:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;16:00-17:00;17:00-18:00;18:00-19:00;19:00-20:00;20:00-21:00;21:00-22:00;22:00-23:00;23:00-24:00;id_uni;Livello;tipologia;codice;codice arco;codice via;Nome via;Nodo da;Nodo a;ordinanza;stato;codimpsem;direzione;angolo;longitudine;latitudine;geopoint;ID_univoco_stazione_spira;giorno settimana;edge_id
216;323;02/02/2024;0.127 2.31 6 1;1;2;2;0;4;3;10;45;66;75;56;71;67;74;61;49;47;53;73;58;44;29;7;19;191;1;spira;583;7675;16750;VIA CIMABUE;15441;8846;4000/343434;A;302;N;335;11.314.438.289.839;445.033.998.910.462;44.5033998910462, 11.314438289839;56;Venerdì;b31
217;326;02/02/2024;0.127 2.33 10 1;182;83;35;19;53;74;143;453;499;413;405;434;438;502;517;497;573;637;575;457;408;278;238;445;945;2;spira;1044;7235;34000;VIA INNOCENZO MALVASIA;14721;8839;4000/343434;A;19;SO;158;113.216.426.062.022;445.012.616.462.669;44.5012616462669, 11.3216426062022;61;Venerdì;b53
271;418;02/02/2024;1.9 0.127 6 1;20;19;5;6;8;13;30;56;72;72;61;67;75;65;72;79;68;80;74;85;71;32;18;35;534;1;spira;515;2881;22100;VIA S.FELICE;13540;15635;4000/343434;A;294;NO;65;113.307.270.636.654;444.980.414.260.355;44.4980414260355, 11.3307270636654;394;Venerdì;a55
282;435;02/02/2024;2.10 1.11 4 1;77;47;34;15;16;39;127;379;575;454;388;359;341;339;367;382;268;405;417;373;271;195;210;193;262;1;spira;857;8713;30500;PIAZZA DI PORTA S.ISAIA;16678;56;4000/343434;A;338;E;256;11.328.674.717.615;44.494.620.361.561;44.494620361561, 11.328674717615;400;Venerdì;a134
284;442;02/02/2024;2.18 2.19 8 1;234;89;56;43;73;208;716;1954;2045;1721;1503;1543;1546;1656;1622;1719;1976;2171;2252;1921;1528;863;743;616;96;1;spira;77;4219;25430;VIALE M. KARAMCHAND GANDHI;4568;16850;4000/343434;A;25;E;250;113.103.750.297.562;444.985.943.485.971;44.4985943485971, 11.3103750297562;419;Venerdì;b2[1][0]
285;443;02/02/2024;2.18 2.82 6 1;12;5;4;3;2;9;27;64;75;101;114;109;131;73;88;105;132;126;106;116;79;45;19;18;169;1;spira;560;4563;36250;VIA MARZABOTTO;4568;8778;4000/343434;A;25;N;329;113.101.650.805.774;44.499.278.975.506;44.499278975506, 11.3101650805774;420;Venerdì;b23
286;444;02/02/2024;2.19 2.19 6 1;62;18;10;8;9;42;161;477;556;412;361;374;402;389;376;414;486;545;516;442;262;177;127;121;176;1;spira;567;357;57650;VIA DEL TIMAVO;4680;4701;4000/343434;A;24;N;338;113.163.420.592.928;444.977.904.881.531;44.4977904881531, 11.3163420592928;426;Venerdì;b38[0]
292;452;02/02/2024;2.31 2.30 4 1;256;119;56;42;99;112;233;716;954;803;777;810;822;821;896;830;918;857;851;783;712;390;354;525;293;1;spira;33;2681;21400;VIA EMILIA PONENTE;8776;8780;4000/343434;A;300;O;66;113.133.986.552.922;445.041.992.237.176;44.5041992237176, 11.3133986552922;472;Venerdì;b76
293;455;02/02/2024;2.38 3.7 8 1;160;75;42;32;35;91;289;912;1171;910;708;769;797;790;761;764;858;913;947;930;661;426;336;309;72;1;spira;326;8781;54950;VIALE ANTONIO SILVANI;16695;16698;4000/343434;A;151;NE;307;11.330.518.010.785;445.010.668.033.697;44.5010668033697, 11.330518010785;491;Venerdì;a204[1][1]
294;458;02/02/2024;2.82 2.19 8 1;26;10;4;1;8;13;36;219;236;131;127;107;125;144;161;138;225;215;248;165;123;64;40;60;172;1;spira;563;2748;44650;VIA PASUBIO;4565;4701;4000/343434;A;24;E;248;11.316.433.339.438;444.989.091.324.745;44.4989091324745, 11.316433339438;509;Venerdì;b37
364;590;03/02/2024;0.127 2.6 10 1;126;83;34;22;13;16;25;83;160;212;228;237;269;259;193;223;233;268;308;375;187;94;101;128;955;1;spira;1253;8709;1350;VIALE ANTONIO ALDINI;16657;16652;4000/343435;A;49;NO;5;1.132.963.801;4.449.047.298;44.49047298, 11.32963801;74;Sabato;a210
366;598;03/02/2024;0.127 2.18 10 2;22;6;4;2;8;6;15;17;48;85;70;77;52;72;59;41;61;55;100;102;41;12;39;50;941;2;spira;1148;2633;25430;VIALE M. KARAMCHAND GANDHI;8763;4568;4000/343434;A;25;;251;113.094.985.934.965;444.988.573.896.583;44.4988573896583, 11.3094985934965;37;Sabato;b20+19a
367;599;03/02/2024;0.127 2.19 10 1;56;33;11;13;13;18;50;137;166;171;213;263;271;236;173;185;225;261;248;205;160;79;106;170;942;2;spira;1222;358;58000;VIA TOLMINO;4680;16850;4000/343434;A;24;NE;297;113.160.312.523.868;444.974.672.343.601;44.4974672343601, 11.3160312523868;39;Sabato;b38[0]
370;604;03/02/2024;0.127 2.30 2 1;1267;712;494;318;149;95;158;365;533;655;811;927;978;804;722;766;757;951;960;1105;717;325;334;422;294;1;spira;34;9183;47900;VIA PRATI DI CAPRARA;16946;13345;4000/343434;A;16;S;161;113.094.463.610.492;445.059.291.474.411;44.5059291474411, 11.3094463610492;52;Sabato;b4[1][1][1]
371;605;03/02/2024;0.127 2.31 2 1;19;9;5;3;5;4;13;32;82;72;86;99;103;70;65;37;55;79;139;138;67;23;32;23;192;1;spira;584;2742;41430;LARGO BARTOLO NIGRISOLI;8761;15769;4000/343434;A;301;S;155;113.156.346.572.437;445.039.426.162.009;44.5039426162009, 11.3156346572437;55;Sabato;b70
372;606;03/02/2024;0.127 2.31 6 1;14;4;9;2;6;1;6;15;31;43;44;50;46;32;24;34;41;48;51;66;50;26;18;41;191;1;spira;583;7675;16750;VIA CIMABUE;15441;8846;4000/343434;A;302;N;335;11.314.438.289.839;445.033.998.910.462;44.5033998910462, 11.314438289839;56;Sabato;b31
436;706;03/02/2024;2.9 2.10 8 1;234;124;58;40;39;54;138;320;400;538;551;706;698;595;526;586;570;636;623;420;335;256;347;512;163;1;spira;550;364;18000;VIA ANDREA COSTA;4621;4696;4000/343434;A;299;E;280;113.198.132.852.758;444.953.074.040.538;44.4953074040538, 11.3198132852758;515;Sabato;a20001+87[1][0]
437;707;03/02/2024;2.9 2.20 6 1;18;10;10;5;8;7;7;25;50;51;55;50;65;51;51;54;56;54;55;83;94;32;25;37;164;1;spira;551;7291;18600;VIA DELLA CROCETTA;4678;14760;4000/343434;A;298;N;354;113.184.727.885.428;444.953.746.950.273;44.4953746950273, 11.3184727885428;516;Sabato;a191
441;715;03/02/2024;2.18 2.82 6 1;28;10;7;7;10;10;18;31;80;136;129;138;108;123;93;83;113;110;89;107;61;27;49;86;169;1;spira;560;4563;36250;VIA MARZABOTTO;4568;8778;4000/343434;A;25;N;329;113.101.650.805.774;44.499.278.975.506;44.499278975506, 11.3101650805774;420;Sabato;b23
442;716;03/02/2024;2.19 0.127 2 1;180;103;46;38;26;49;59;183;273;373;459;523;617;537;387;435;479;519;562;471;379;185;193;234;175;1;spira;566;343;39600;VIA MONTEFIORINO;4680;4614;4000/343434;A;24;S;157;113.159.062.928.132;444.973.287.210.753;44.4973287210753, 11.3159062928132;421;Sabato;a67
443;717;03/02/2024;2.19 2.19 4 1;286;171;106;61;85;67;89;259;442;504;609;670;710;604;556;545;537;600;650;682;566;244;360;377;361;1;spira;109;358;58000;VIA TOLMINO;4680;16850;4000/343434;A;24;O;90;113.156.919.816.636;444.975.833.129.702;44.4975833129702, 11.3156919816636;425;Sabato;b2[0]
444;718;03/02/2024;2.19 2.19 8 1;436;218;113;64;91;171;216;613;723;861;1029;1141;1339;1067;959;1072;1158;1150;1084;1018;945;624;659;684;788;1;spira;1132;4219;25430;VIALE M. KARAMCHAND GANDHI;16850;4568;4000/343434;A;399;;253;113.132.403.786.183;444.978.131.399.409;44.4978131399409, 11.3132403786183;428;Sabato;b2[1][0]
446;725;03/02/2024;2.30 0.127 6 1;433;191;105;55;87;152;372;620;844;994;1113;1356;1513;1133;995;1021;1203;1229;1206;1243;968;485;627;1232;187;1;spira;579;9147;47900;VIA PRATI DI CAPRARA;13344;16937;4000/343434;A;16;N;341;113.095.630.279.905;445.058.710.102.678;44.5058710102678, 11.3095630279905;467;Sabato;b4[1][1][1]
447;728;03/02/2024;2.33 0.127 2 1;136;96;45;34;36;31;37;112;170;219;247;300;368;266;240;257;258;286;336;397;303;120;127;151;290;1;spira;30;2729;62250;VIA VITTORIO VENETO;8839;8814;4000/343434;A;19;SO;155;113.215.190.419.811;445.010.742.719.742;44.5010742719742, 11.3215190419811;476;Sabato;b55
448;733;03/02/2024;2.95 2.4 6 1;388;276;182;85;47;56;97;308;462;577;640;669;723;694;578;634;643;641;608;638;416;256;264;417;623;1;spira;956;304;52950;VIA SARAGOZZA;4657;4539;4000/343434;A;371;SO;109;113.208.167.613.095;444.896.143.680.428;44.4896143680428, 11.3208167613095;518;Sabato;a195
531;867;04/02/2024;0.127 2.6 10 1;128;99;43;26;14;9;10;34;73;120;169;215;261;159;129;233;234;224;260;212;126;84;66;102;955;1;spira;1253;8709;1350;VIALE ANTONIO ALDINI;16657;16652;4000/343435;A;49;NO;5;1.132.963.801;4.449.047.298;44.49047298, 11.32963801;74;Domenica;a210
533;869;04/02/2024;0.127 2.10 10 1;76;45;25;16;8;4;3;20;37;66;99;120;138;78;86;124;128;138;141;107;86;57;42;42;917;2;spira;1097;8745;44950;VIALE CARLO PEPOLI;16675;16677;4000/343434;A;338;;14;113.287.720.902.502;444.937.218.654.403;44.4937218654403, 11.3287720902502;27;Domenica;a43[0]
535;873;04/02/2024;0.127 2.19 10 1;87;30;19;8;7;2;20;32;48;116;167;177;195;147;138;186;204;221;179;160;137;69;72;59;942;2;spira;1222;358;58000;VIA TOLMINO;4680;16850;4000/343434;A;24;NE;297;113.160.312.523.868;444.974.672.343.601;44.4974672343601, 11.3160312523868;39;Domenica;b38[0]
536;874;04/02/2024;0.127 2.20 2 1;191;119;85;27;29;29;22;64;95;189;245;267;306;255;216;266;296;339;344;302;257;161;144;137;178;1;spira;570;7243;62250;VIA VITTORIO VENETO;14727;4677;4000/343434;A;23;S;156;113.190.584.470.408;444.973.300.969.747;44.4973300969747, 11.3190584470408;40;Domenica;a181
540;878;04/02/2024;0.127 2.30 2 1;336;224;129;68;52;83;103;182;260;439;584;739;849;652;573;661;742;826;900;739;473;289;271;213;294;1;spira;34;9183;47900;VIA PRATI DI CAPRARA;16946;13345;4000/343434;A;16;S;161;113.094.463.610.492;445.059.291.474.411;44.5059291474411, 11.3094463610492;52;Domenica;b4[1][1][1]
541;879;04/02/2024;0.127 2.30 6 1;407;136;67;46;31;59;166;178;296;473;589;748;840;558;592;685;802;865;813;692;472;318;235;172;296;2;spira;36;5425;45190;VIALE SANDRO PERTINI;13354;13344;4000/343434;A;16;N;340;113.092.167.352.814;445.053.085.046.798;44.5053085046798, 11.3092167352814;53;Domenica;b4[1][1][0]
542;882;04/02/2024;0.127 2.33 10 1;299;194;131;70;54;54;63;90;144;237;320;357;399;318;294;387;410;487;463;466;402;272;219;184;945;2;spira;1044;7235;34000;VIA INNOCENZO MALVASIA;14721;8839;4000/343434;A;19;SO;158;113.216.426.062.022;445.012.616.462.669;44.5012616462669, 11.3216426062022;61;Domenica;b53
589;966;04/02/2024;1.9 0.127 6 1;38;21;10;14;5;12;17;24;25;30;37;28;41;31;33;30;38;37;35;53;39;30;27;24;534;1;spira;515;2881;22100;VIA S.FELICE;13540;15635;4000/343434;A;294;NO;65;113.307.270.636.654;444.980.414.260.355;44.4980414260355, 11.3307270636654;394;Domenica;a55
594;980;04/02/2024;2.6 2.10 6 1;501;362;192;103;57;48;67;132;273;434;645;763;842;550;533;816;939;958;858;814;568;376;300;293;592;1;spira;541;8712;44950;VIALE CARLO PEPOLI;16659;16665;4000/343434;A;49;N;15;113.295.725.650.354;444.912.436.304.454;44.4912436304454, 11.3295725650354;499;Domenica;a210
596;982;04/02/2024;2.9 2.10 8 1;296;131;75;40;41;36;56;88;191;259;388;479;577;398;362;463;560;572;555;466;345;254;210;176;163;1;spira;550;364;18000;VIA ANDREA COSTA;4621;4696;4000/343434;A;299;E;280;113.198.132.852.758;444.953.074.040.538;44.4953074040538, 11.3198132852758;515;Domenica;a20001+87[1][0]
597;984;04/02/2024;2.10 2.21 6 1;437;276;178;90;41;43;57;128;275;427;568;735;783;550;537;720;827;766;736;693;476;291;255;248;14;1;spira;95;7563;61550;VIALE GIOVANNI VICINI;16678;16693;4000/343434;A;338;NO;10;113.283.987.885.526;44.494.907.669.431;44.494907669431, 11.3283987885526;401;Domenica;a201
600;990;04/02/2024;2.18 0.127 4 1;457;321;200;87;86;64;71;158;252;544;754;837;960;620;574;646;833;829;795;740;548;335;309;259;171;1;spira;562;2633;25430;VIALE M. KARAMCHAND GANDHI;4568;8763;4000/343434;A;25;O;70;113.087.294.098.062;444.991.747.026.869;44.4991747026869, 11.3087294098062;418;Domenica;b2[1][1][1]b
601;991;04/02/2024;2.18 2.82 6 1;26;9;10;6;1;3;5;9;27;80;63;100;89;61;49;85;70;72;70;59;42;22;24;19;169;1;spira;560;4563;36250;VIA MARZABOTTO;4568;8778;4000/343434;A;25;N;329;113.101.650.805.774;44.499.278.975.506;44.499278975506, 11.3101650805774;420;Domenica;b23
602;992;04/02/2024;2.19 0.127 2 1;183;100;52;32;34;31;40;60;147;243;365;427;504;345;285;398;421;451;490;422;299;191;159;136;175;1;spira;566;343;39600;VIA MONTEFIORINO;4680;4614;4000/343434;A;24;S;157;113.159.062.928.132;444.973.287.210.753;44.4973287210753, 11.3159062928132;421;Domenica;a67
603;993;04/02/2024;2.19 2.32 6 1;54;21;17;7;7;8;13;20;31;61;104;99;112;97;68;73;88;110;108;102;94;59;45;43;358;1;spira;106;2699;57650;VIA DEL TIMAVO;4701;8812;4000/343434;A;24;N;338;113.170.094.340.646;444.988.944.328.703;44.4988944328703, 11.3170094340646;430;Domenica;b38[1][0]
608;1001;04/02/2024;2.30 0.127 2 1;1016;654;419;246;179;174;215;357;571;894;1131;1459;1585;1319;1283;1421;1570;1599;1768;1545;1231;790;693;586;188;1;spira;580;6122;45190;VIALE SANDRO PERTINI;13345;13882;4000/343434;A;16;S;157;11.309.082.303.102;445.053.154.347.885;44.5053154347885, 11.309082303102;466;Domenica;b3[1]
609;1002;04/02/2024;2.30 0.127 6 1;559;238;135;103;66;97;224;272;422;649;859;1062;1105;798;844;935;1080;1136;1118;996;674;402;319;268;187;1;spira;579;9147;47900;VIA PRATI DI CAPRARA;13344;16937;4000/343434;A;16;N;341;113.095.630.279.905;445.058.710.102.678;44.5058710102678, 11.3095630279905;467;Domenica;b4[1][1][1]
610;1003;04/02/2024;2.31 2.30 4 1;573;353;238;135;94;78;87;171;253;401;496;668;653;601;601;667;675;699;769;750;665;397;338;277;293;1;spira;33;2681;21400;VIA EMILIA PONENTE;8776;8780;4000/343434;A;300;O;66;113.133.986.552.922;445.041.992.237.176;44.5041992237176, 11.3133986552922;472;Domenica;b76
611;1004;04/02/2024;2.31 2.82 2 1;56;35;23;11;14;13;15;35;61;115;206;224;196;128;143;156;165;167;186;175;149;77;67;28;204;1;spira;597;2642;36250;VIA MARZABOTTO;8785;4566;4000/343434;A;42;S;155;11.311.120.157.605;445.008.565.366.089;44.5008565366089, 11.311120157605;474;Domenica;b17[0]
612;1006;04/02/2024;2.33 0.127 2 1;134;87;57;28;23;21;22;41;75;119;179;211;230;199;144;204;242;276;275;275;210;119;109;115;290;1;spira;30;2729;62250;VIA VITTORIO VENETO;8839;8814;4000/343434;A;19;SO;155;113.215.190.419.811;445.010.742.719.742;44.5010742719742, 11.3215190419811;476;Domenica;b55
613;1007;04/02/2024;2.33 0.127 6 1;110;61;36;26;12;19;27;43;97;192;235;245;280;221;208;277;269;270;256;234;175;105;90;82;194;1;spira;587;7235;34000;VIA INNOCENZO MALVASIA;8839;14721;4000/343434;A;19;N;338;113.218.017.649.932;445.013.661.662.167;44.5013661662167, 11.3218017649932;477;Domenica;b53
614;1010;04/02/2024;2.35 2.38 8 1;259;160;80;38;34;46;56;92;209;316;460;523;587;462;450;552;635;590;501;475;323;206;185;139;283;1;spira;23;8785;54950;VIALE ANTONIO SILVANI;16696;16702;4000/343434;A;21;NE;296;113.275.922.602.577;444.996.245.123.973;44.4996245123973, 11.3275922602577;485;Domenica;a204[1][1]
615;1013;04/02/2024;2.82 2.18 2 2;94;43;36;11;16;16;23;49;75;154;271;297;257;177;196;205;242;230;237;225;187;99;101;47;269;1;spira;922;4568;36250;VIA MARZABOTTO;8776;8777;4000/343434;A;300;S;155;113.132.064.397.937;445.039.186.889.583;44.5039186889583, 11.3132064397937;508;Domenica;b17[1]
618;1016;04/02/2024;2.95 2.4 6 1;433;337;162;95;64;40;52;103;250;379;523;598;633;494;448;586;600;575;591;551;403;288;236;275;623;1;spira;956;304;52950;VIA SARAGOZZA;4657;4539;4000/343434;A;371;SO;109;113.208.167.613.095;444.896.143.680.428;44.4896143680428, 11.3208167613095;518;Domenica;a195
700;1157;05/02/2024;0.127 2.18 8 1;165;90;48;37;68;214;686;1953;1978;1632;1468;1370;1426;1481;1541;1467;1603;2011;2061;1715;1117;565;532;484;95;1;spira;75;2633;25430;VIALE M. KARAMCHAND GANDHI;8763;4568;4000/343434;A;25;E;250;113.086.826.273.458;444.990.522.268.361;44.4990522268361, 11.3086826273458;34;Lunedì;b2[1][1][1]b
701;1158;05/02/2024;0.127 2.20 2 1;52;35;16;8;18;40;99;406;410;341;326;324;394;343;409;404;487;532;547;456;282;126;129;102;178;1;spira;570;7243;62250;VIA VITTORIO VENETO;14727;4677;4000/343434;A;23;S;156;113.190.584.470.408;444.973.300.969.747;44.4973300969747, 11.3190584470408;40;Lunedì;a181
704;1164;05/02/2024;0.127 2.82 8 1;10;11;1;1;5;11;34;252;253;105;111;110;97;82;99;118;134;175;249;139;93;36;31;18;206;1;spira;600;2647;44650;VIA PASUBIO;8787;4566;4000/343434;A;42;E;248;113.107.102.075.303;445.006.771.544.669;44.5006771544669, 11.3107102075303;84;Lunedì;b15
756;1279;05/02/2024;2.9 2.10 8 1;85;29;18;19;36;78;236;661;779;609;564;615;545;544;601;665;677;663;775;623;451;289;212;177;163;1;spira;550;364;18000;VIA ANDREA COSTA;4621;4696;4000/343434;A;299;E;280;113.198.132.852.758;444.953.074.040.538;44.4953074040538, 11.3198132852758;515;Lunedì;a20001+87[1][0]
757;1280;05/02/2024;2.9 2.20 6 1;8;3;2;3;5;10;12;141;185;81;54;41;48;45;61;36;55;79;77;100;40;19;27;11;164;1;spira;551;7291;18600;VIA DELLA CROCETTA;4678;14760;4000/343434;A;298;N;354;113.184.727.885.428;444.953.746.950.273;44.4953746950273, 11.3184727885428;516;Lunedì;a191
758;1281;05/02/2024;2.10 1.11 4 1;55;25;15;17;17;48;139;402;608;493;377;309;347;316;287;354;337;378;399;346;227;136;119;101;262;1;spira;857;8713;30500;PIAZZA DI PORTA S.ISAIA;16678;56;4000/343434;A;338;E;256;11.328.674.717.615;44.494.620.361.561;44.494620361561, 11.328674717615;400;Lunedì;a134
761;1287;05/02/2024;2.18 2.82 6 1;8;2;0;2;5;8;29;53;90;81;106;103;74;70;94;111;129;113;104;96;68;39;22;10;169;1;spira;560;4563;36250;VIA MARZABOTTO;4568;8778;4000/343434;A;25;N;329;113.101.650.805.774;44.499.278.975.506;44.499278975506, 11.3101650805774;420;Lunedì;b23
762;1288;05/02/2024;2.19 2.19 4 1;80;45;20;28;48;110;237;809;1075;702;576;597;600;605;723;682;872;856;817;646;366;187;178;154;361;1;spira;109;358;58000;VIA TOLMINO;4680;16850;4000/343434;A;24;O;90;113.156.919.816.636;444.975.833.129.702;44.4975833129702, 11.3156919816636;425;Lunedì;b2[0]
763;1289;05/02/2024;2.19 2.19 6 1;29;13;6;9;11;53;133;476;554;437;348;359;366;374;378;390;435;510;456;381;241;133;119;67;176;1;spira;567;357;57650;VIA DEL TIMAVO;4680;4701;4000/343434;A;24;N;338;113.163.420.592.928;444.977.904.881.531;44.4977904881531, 11.3163420592928;426;Lunedì;b38[0]
