;Unnamed: 0;Nome via;geopoint;edge_id
36;448;VIA SARAGOZZA;44.4896143680428, 11.3208167613095;a195
37;536;VIA VITTORIO VENETO;44.4973300969747, 11.3190584470408;a181
38;594;VIALE CARLO PEPOLI;44.4912436304454, 11.3295725650354;a210
39;600;VIALE M. KARAMCHAND GANDHI;44.4991747026869, 11.3087294098062;b2[1][1][1]b
40;603;VIA DEL TIMAVO;44.4988944328703, 11.3170094340646;b38[1][0]
41;608;VIALE SANDRO PERTINI;44.5053154347885, 11.309082303102;b3[1]
42;611;VIA MARZABOTTO;44.5008565366089, 11.311120157605;b17[0]
43;615;VIA MARZABOTTO;44.5039186889583, 11.3132064397937;b17[1]
44;704;VIA PASUBIO;44.5006771544669, 11.3107102075303;b15
45;765;VIA TOLMINO;44.4974351312945, 11.3165523765202;a71
46;766;VIA MARZABOTTO;44.4992572264694, 11.309913896272;b20+19a
47;852;VIA IRMA BANDIERA;44.4916097902182, 11.3124430502643;a104
48;883;VIALE ANTONIO ALDINI;44.4900319161705, 11.3297300781334;a210
49;895;VIA EMILIA PONENTE;44.5054053954154, 11.3096947184232;b8
50;971;VIA LUIGI VALERIANI;44.4951731390054, 11.3195970141409;a153
51;1048;VIA ANDREA COSTA;44.4939849418073, 11.3110304555682;a77[1][1]
52;1053;VIA EMILIA PONENTE;44.5057316740375, 11.3090333624097;b10
53;1153;VIA ANDREA COSTA;44.494098107005, 11.3112243441924;a77[1][1]
54;1221;VIA DEL TIMAVO;44.498596866165, 11.3167288638096;b38[0]a
55;1234;VIALE GIOVANNI VICINI;44.498954845287, 11.3268760258863;a124
56;1235;VIA SABOTINO;44.4970385266486, 11.3237550845001;a122
57;1238;VIA SARAGOZZA;44.4895928457479, 11.3209092063132;a195
58;1345;VIA ANDREA COSTA;44.4952144648198, 11.3181693906392;a190
59;1346;VIA MONTEFIORINO;44.4972742515867, 11.3160137227682;a11
60;1390;VIA PIETRO DE COUBERTIN;44.4936129820353, 11.3108762401867;a78[0]
61;1452;VIA VITTORIO VENETO;44.5009942351004, 11.3215733072765;b55
62;1798;VIA INNOCENZO MALVASIA;44.5013990198351, 11.3217226486705;b53
63;1889;VIALE CARLO PEPOLI;44.4944770870484, 11.3283224582864;a43[1]
64;2025;VIA PASUBIO;44.500559242279, 11.3112946339157;b26.-170
65;2033;VIA AURELIO SAFFI;44.4994937005152, 11.3266685739012;b12
66;2066;VIALE GIOVANNI VICINI;44.4948641751239, 11.328173238949;a201
67;2141;VIA MARZABOTTO;44.5038846559691, 11.3133096525433;b17[1]
68;2288;VIA PIETRO DE COUBERTIN;44.4935430651191, 11.3109398117451;a78[0]
69;2299;VIA PASUBIO;44.4986653950908, 11.3172169050193;b47
70;2641;VIA EMILIA PONENTE;44.5033097580172, 11.315609591241;b56[1][1]
71;3015;VIA S.FELICE;44.4989805631524, 11.3278724580295;a55
72;3079;VIA AURELIO SAFFI;44.5021139763231, 11.3191042721411;b56[0]
73;3536;LARGO VITTIME LAGER NAZISTI;44.4985350861187, 11.3093473331418;b22[1]
74;3762;VIA TOLMINO;44.4974179677684, 11.3176323991363;a17
75;4867;VIA IRMA BANDIERA;44.4920995509245, 11.3126409560121;a103
76;5388;VIA ALESSANDRO GUIDOTTI;44.4905328608867, 11.3260133446752;a60
77;6918;VIALE M. KARAMCHAND GANDHI;44.4988800407248, 11.3093607306913;b2[1][1][1]
78;7008;VIA SABOTINO;44.4971637930601, 11.3213155857597;a161
79;8101;VIA AURELIO SAFFI;44.5001722736237, 11.324532869825;b12
80;17723;VIA OLINDO GUERRINI;44.496984735039, 11.3210136983984;a171
81;20646;VIALE M. KARAMCHAND GANDHI;44.4988392708548, 11.3098586466771;b2[1][1][0]
82;21301;VIA AURELIO SAFFI;44.5012925294941, 11.3215278109756;b51
83;30459;VIALE M. KARAMCHAND GANDHI;44.497876550954, 11.3134408610378;b34[1][1]
